Case name,Qall (kW),Qshade+cos (kW),Qblock (kW),Qfield_abs (kW),Qspil (kW),Qrefl (kW),Qabs (kW),Effective rays,Time,From source
C_1.1,52200.0,8229.1,557.3,2198.5999999999985,4711.2,3648.4,32855.4,522,0.795730,heliosim
C_1.2,52200.0,19714.399999999998,344.4,1624.300000000003,5106.9,2539.7,22870.3,522,0.789749,heliosim
C_2.1,52200.0,8229.1,556.8,2198.599999999995,4967.4,3622.8,32625.3,522,0.791502,heliosim
C_2.2,52200.0,19714.7,344.7,1624.199999999997,5274.7,2522.9,22718.8,522,0.738658,heliosim
