Case name,Qall (kW),Qshade+cos (kW),Qblock (kW),Qfield_abs (kW),Qspil (kW),Qrefl (kW),Qabs (kW),Effective rays,Time,From source
"C_1.1",52200,8231.6,566.343,2198.55,4699.44,3650.67,32856,150,7.40,solstice
"C_1.2",52200,19724.109999999997,332.814,1626.6,5070.54,2544.86,22903.7,150,6.70,solstice
"C_2.1",52200,8231.75,566.388,2198.54,4918.7,3628.72,32658.5,150,7.14,solstice
"C_2.2",52200,19724.120000000003,334.962,1626.62,5212.1,2530.48,22774.3,150,7.14,solstice
