%,soltrace,tracer,solstice,heliosim,solarpilot
Qabs,1.1850250598696053,-0.11513748225386819,-0.011747609240571522,-0.10574685435315076,0.794043313765185
Qrefl,1.2974628539746182,-0.14618862897697465,-0.011870083827041486,-0.16729033405226298,0.7940555612238354
Qspil,-8.683559594223095,0.9557265666694453,0.4211219458601005,1.074277380071203,-7.073602665217312
Qfieldabs,0.10268467234780529,0.0768274807759822,2.026552550074786,0.09977082474782568,0.10268467234780529
Qblok,-0.46688613673827745,-0.0014619957860916087,-9.979906403077148,-1.7300294187958956,11.329746107600238
Qshad&cos,-0.08450613481931181,0.05344669461976504,-0.021836693250336818,-0.055600462157639606,-0.08450613481931181
