x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.248
-3.88,-2.97,0.268
-3.8,-2.97,0.274
-3.72,-2.97,0.295
-3.64,-2.97,0.327
-3.56,-2.97,0.351
-3.48,-2.97,0.357
-3.4,-2.97,0.39
-3.32,-2.97,0.394
-3.24,-2.97,0.428
-3.16,-2.97,0.448
-3.08,-2.97,0.467
-3,-2.97,0.492
-2.92,-2.97,0.507
-2.84,-2.97,0.533
-2.76,-2.97,0.547
-2.68,-2.97,0.586
-2.6,-2.97,0.593
-2.52,-2.97,0.638
-2.44,-2.97,0.652
-2.36,-2.97,0.667
-2.28,-2.97,0.705
-2.2,-2.97,0.744
-2.12,-2.97,0.764
-2.04,-2.97,0.747
-1.96,-2.97,0.797
-1.88,-2.97,0.817
-1.8,-2.97,0.849
-1.72,-2.97,0.868
-1.64,-2.97,0.912
-1.56,-2.97,0.949
-1.48,-2.97,0.937
-1.4,-2.97,0.974
-1.32,-2.97,0.956
-1.24,-2.97,1.01
-1.16,-2.97,1.061
-1.08,-2.97,1.008
-1,-2.97,1.015
-0.92,-2.97,1.068
-0.84,-2.97,1.076
-0.76,-2.97,1.078
-0.68,-2.97,1.117
-0.6,-2.97,1.138
-0.52,-2.97,1.131
-0.44,-2.97,1.154
-0.36,-2.97,1.183
-0.28,-2.97,1.178
-0.2,-2.97,1.176
-0.12,-2.97,1.122
-0.04,-2.97,1.149
0.04,-2.97,1.162
0.12,-2.97,1.186
0.2,-2.97,1.141
0.28,-2.97,1.153
0.36,-2.97,1.133
0.44,-2.97,1.121
0.52,-2.97,1.137
0.6,-2.97,1.118
0.68,-2.97,1.088
0.76,-2.97,1.08
0.84,-2.97,1.057
0.92,-2.97,1.082
1,-2.97,1.07
1.08,-2.97,1.029
1.16,-2.97,1.011
1.24,-2.97,1.033
1.32,-2.97,0.981
1.4,-2.97,0.948
1.48,-2.97,0.925
1.56,-2.97,0.928
1.64,-2.97,0.866
1.72,-2.97,0.853
