%,soltrace,tracer,solstice,heliosim,solarpilot
Qabs,1.0698574820092492,-0.20302831869628432,-0.03017188413598727,-0.2755456274422413,0.338318903038842
Qrefl,1.0698530880603825,-0.20302832307499194,-0.030259678772225154,-0.3312924393304285,0.3383276776592782
Qspil,-6.017348488025882,0.052955084012176114,-0.08565117392857459,1.1258187651714968,-11.021070181577809
Qfieldabs,-0.06420025979261197,-0.25396878225590624,1.3321372546483414,-0.2317705896975541,-0.19872336187891182
Qblok,-6.644838359560956,-0.7732165300843962,-19.311337545523564,-10.836826715379248,114.79969755799888
Qshad&cos,0.35502018316994893,0.3389828805226136,0.34428587243546305,0.2955999228008668,0.24746849443170307
