Case name,Qall (kW),Qshade+cos (kW),Qblock (kW),Qfield_abs (kW),Qspil (kW),Qrefl (kW),Qabs (kW),Effective rays,Time,From source
C_1.1,52200.0,8226.72,630.797,2198.664,4566.964,3657.686,32919.17,n/a,0.025867,solarpilot
C_1.2,52200.0,19705.239,830.404,1624.738,4641.121,2539.85,22858.648,n/a,0.025383,solarpilot
C_2.1,52200.0,8226.72,630.797,2198.664,4566.964,3657.686,32919.17,n/a,0.024733,solarpilot
C_2.2,52200.0,19705.239,830.404,1624.738,4641.121,2539.85,22858.648,n/a,0.024883,solarpilot
