Case name,Qall (kW),Qshade+cos (kW),Qblock (kW),Qfield_abs (kW),Qspil (kW),Qrefl (kW),Qabs (kW),Effective rays,Time,From source
C_1.1,52200.0,8232.0,564.0,2194.0,4714.0,3646.0,32850.0,n/a,16.189,soltrace
C_1.2,52200.0,19721.0,361.0,1624.0,5053.0,2544.0,22897.0,n/a,9.234,soltrace
C_2.1,52200.0,8221.0,564.0,2199.0,4950.0,3630.0,32634.999999999996,n/a,16.042,soltrace
C_2.2,52200.0,19716.0,364.0,1624.0,5209.0,2529.0,22758.0,n/a,9.644,soltrace
