x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.441
-3.88,-2.97,0.449
-3.8,-2.97,0.457
-3.72,-2.97,0.464
-3.64,-2.97,0.471
-3.56,-2.97,0.478
-3.48,-2.97,0.484
-3.4,-2.97,0.49
-3.32,-2.97,0.496
-3.24,-2.97,0.501
-3.16,-2.97,0.506
-3.08,-2.97,0.511
-3,-2.97,0.515
-2.92,-2.97,0.519
-2.84,-2.97,0.522
-2.76,-2.97,0.525
-2.68,-2.97,0.527
-2.6,-2.97,0.529
-2.52,-2.97,0.531
-2.44,-2.97,0.532
-2.36,-2.97,0.533
-2.28,-2.97,0.533
-2.2,-2.97,0.533
-2.12,-2.97,0.532
-2.04,-2.97,0.531
-1.96,-2.97,0.53
-1.88,-2.97,0.528
-1.8,-2.97,0.525
-1.72,-2.97,0.522
-1.64,-2.97,0.519
-1.56,-2.97,0.515
-1.48,-2.97,0.511
-1.4,-2.97,0.507
-1.32,-2.97,0.502
-1.24,-2.97,0.497
-1.16,-2.97,0.491
-1.08,-2.97,0.485
-1,-2.97,0.479
-0.92,-2.97,0.472
-0.84,-2.97,0.465
-0.76,-2.97,0.458
-0.68,-2.97,0.451
-0.6,-2.97,0.443
-0.52,-2.97,0.435
-0.44,-2.97,0.427
-0.36,-2.97,0.418
-0.28,-2.97,0.41
-0.2,-2.97,0.401
-0.12,-2.97,0.392
-0.04,-2.97,0.383
0.04,-2.97,0.374
0.12,-2.97,0.365
0.2,-2.97,0.356
0.28,-2.97,0.346
0.36,-2.97,0.337
0.44,-2.97,0.328
0.52,-2.97,0.318
0.6,-2.97,0.309
0.68,-2.97,0.3
0.76,-2.97,0.29
0.84,-2.97,0.281
0.92,-2.97,0.272
1,-2.97,0.263
1.08,-2.97,0.253
1.16,-2.97,0.244
1.24,-2.97,0.236
1.32,-2.97,0.227
1.4,-2.97,0.218
1.48,-2.97,0.21
1.56,-2.97,0.202
1.64,-2.97,0.193
1.72,-2.97,0.185
1.8,-2.97,0.178
1.88,-2.97,0.17
1.96,-2.97,0.163
2.04,-2.97,0.155
2.12,-2.97,0.148
2.2,-2.97,0.141
2.28,-2.97,0.135
2.36,-2.97,0.128
2.44,-2.97,0.122
2.52,-2.97,0.116
2.6,-2.97,0.11
2.68,-2.97,0.104
2.76,-2.97,0.0989
2.84,-2.97,0.0936
2.92,-2.97,0.0885
3,-2.97,0.0837
3.08,-2.97,0.079
3.16,-2.97,0.0745
3.24,-2.97,0.0702
3.32,-2.97,0.0661
3.4,-2.97,0.0622
3.48,-2.97,0.0584
3.56,-2.97,0.0549
3.64,-2.97,0.0515
3.72,-2.97,0.0482
3.8,-2.97,0.0452
3.88,-2.97,0.0422
3.96,-2.97,0.0395
-3.96,-2.91,0.468
-3.88,-2.91,0.476
-3.8,-2.91,0.485
-3.72,-2.91,0.493
-3.64,-2.91,0.5
-3.56,-2.91,0.508
-3.48,-2.91,0.515
-3.4,-2.91,0.521
-3.32,-2.91,0.528
-3.24,-2.91,0.534
-3.16,-2.91,0.539
-3.08,-2.91,0.544
-3,-2.91,0.549
-2.92,-2.91,0.553
-2.84,-2.91,0.557
-2.76,-2.91,0.561
-2.68,-2.91,0.563
-2.6,-2.91,0.566
-2.52,-2.91,0.568
-2.44,-2.91,0.569
-2.36,-2.91,0.57
-2.28,-2.91,0.571
-2.2,-2.91,0.571
-2.12,-2.91,0.571
-2.04,-2.91,0.57
-1.96,-2.91,0.568
-1.88,-2.91,0.566
-1.8,-2.91,0.564
-1.72,-2.91,0.561
-1.64,-2.91,0.558
-1.56,-2.91,0.554
-1.48,-2.91,0.55
-1.4,-2.91,0.546
-1.32,-2.91,0.541
-1.24,-2.91,0.535
-1.16,-2.91,0.529
-1.08,-2.91,0.523
-1,-2.91,0.517
-0.92,-2.91,0.51
-0.84,-2.91,0.503
-0.76,-2.91,0.495
-0.68,-2.91,0.487
-0.6,-2.91,0.479
-0.52,-2.91,0.471
-0.44,-2.91,0.462
-0.36,-2.91,0.453
-0.28,-2.91,0.444
-0.2,-2.91,0.435
-0.12,-2.91,0.426
-0.04,-2.91,0.416
0.04,-2.91,0.407
0.12,-2.91,0.397
0.2,-2.91,0.387
0.28,-2.91,0.377
0.36,-2.91,0.367
0.44,-2.91,0.357
0.52,-2.91,0.347
0.6,-2.91,0.337
