Case name,Qall or Qirr  (kW) , +/- err bar (kW),Qshad+Qcos (kW),+/- err_Qshad+Qcos (kW),Qblock (kW),+/- err_Qblock (kW),Qhst_abs (kW),+/- err_Qhst_abs (kW),Qspil (kW),+/- err_Qspil (kW),Qrefl (kW),+/- err_Qrefl (kW),Qabs (kW),+/- err_Qabs (kW),Average flux (kW/m2),+/- err_average (kW),Peak flux (kW/m2),+/- err_Peak (kW/flux)
A_1.1.1,100.00162855529658,0.004885665889741375,-,-,-,-,-,-,0.000275,0.000825,0.0,0.0,100.00135355529657,0.005218953192501494,1.5625305986761848,7.939962637146631e-05,32.04108322846078,0.13782782428888013
A_1.1.2,99.99738453011123,0.0073917488678507635,-,-,-,-,-,-,0.0003,0.0009,0.0,0.0,99.99758453011124,0.005633517124483725,1.5624641258827676,8.252021510678753e-05,8.073143065976724,0.09739895622374296
A_1.1.3,100.00025545577469,0.0007663673240756452,-,-,-,-,-,-,0.000325,0.000975,0.0,0.0,99.99993045577469,0.0014269136750573307,1.5625092838951111,3.99710777553688e-05,3.6137621481372086,0.07860614211568329
A_1.2.1,99.99876006834168,0.006802173811473045,-,-,-,-,-,-,0.01246919143686861,0.001970604513179086,0.0,0.0,99.98508247688487,0.008591269528981345,1.5622660575524532,0.00013724337057531186,15.932441592147347,0.029399845528498298
A_1.2.2,99.99796585314037,0.006085690104321132,-,-,-,-,-,-,8.896098587114441,0.003069358957945865,0.0,0.0,91.10304726604583,0.005010342555475516,1.4234848534576243,7.857272457684322e-05,4.017383546710426,0.031022780571156715
A_1.2.3,100.00230690230437,0.005905124578078095,-,-,-,-,-,-,33.166404975085015,0.013000182211867925,0.0,0.0,66.83690192721937,0.0051651037817591625,1.0443270554326785,7.965065199295093e-05,1.795393033427601,0.021986667026761518
A_2.1,100.00070139600747,0.009491747553959744,-,-,-,-,-,-,0.00030000000000000003,0.0009000000000000001,0.0,0.0,100.00040139600746,0.009583848717408444,1.5624933840702784,0.00012343122473058564,8.083773941748845,0.08859026794334231
A_2.2,100.00277121016431,0.0058661737597131645,-,-,-,-,-,-,8.897545637067699,0.006267243439488424,0.0,0.0,91.1050095730967,0.01136573398264584,1.423514813515418,0.00017456752798227046,3.9975754574039306,0.024465311030602937
A_2.3.1,100.00330418941498,0.005739793635162443,-,-,-,-,-,-,0.697842108014249,0.06914164536277405,0.0,0.0,99.30486328140066,0.06890336260343981,1.5516373414378957,0.0010782886781642478,6.904039581759645,0.09570853617316066
A_2.3.2,100.00034854662086,0.009417300927039327,-,-,-,-,-,-,1.3725581546563457,0.08845852901225872,0.0,0.0,98.62899839196456,0.08992330436401004,1.5410784848983208,0.0014052050259482655,6.822102167572453,0.08651293104647836
A_2.3.3,99.98975059219728,0.015439758525202085,-,-,-,-,-,-,2.0190295133183054,0.05997169227880274,0.0,0.0,97.97152507887901,0.05731755698916231,1.5308032838829126,0.0008948607529428667,6.7687845010927274,0.11437313711720633
A_3.1,100.00282518468127,0.014090870147756323,-,-,-,-,-,-,16.065860392981126,0.003063101846736978,0.0,0.0,83.93616479171999,0.013422062864442306,1.3115527206026238,0.00018310313250356557,2.9246027866927684,0.026342904568469536
A_3.2,100.00277031187105,0.010538120223622835,-,-,-,-,-,-,16.63499136495414,0.07744424775312127,0.0,0.0,83.36697894691692,0.08346569235269431,1.3026357496703904,0.0013536569585019774,2.9555572681954176,0.034107462272469684
B_1.1.1,97.66344438058357,0.027499041081161982,-,-,-,-,-,-,0.007643525829200705,0.022767394796929144,0.0,0.0,97.6561960254024,0.0409088730370687,2.0345053665287254,0.0008545122414754397,68.66935104631219,0.13219616029334338
B_1.1.2,81.20087388065123,0.0015707869260398783,-,-,-,-,-,-,24.45112293029433,0.008090901606064052,0.0,0.0,56.75035095037698,0.008882096564315177,1.1823027320189905,0.00018368909672077989,2.1958197531253476,0.028156095225958716
B_1.1.3,79.89872456955315,0.006652924685523729,-,-,-,-,-,-,29.01034709530063,0.00876663323493426,0.0,0.0,50.8889774742525,0.010854895110322739,1.0602091869310253,0.00020832279348181678,1.73494862633999,0.025634247701162426
B_1.1.4,80.57202603423026,0.0038652104104064163,-,-,-,-,-,-,18.061137423336163,0.014994659790500542,0.0,0.0,62.51128861091429,0.016503884009757084,1.3022926203498162,0.0003495109710514579,2.849020662616136,0.019653916992145748
B_1.2.1,76.34002314480165,0.03755080188768898,-,-,-,-,-,-,0.2702434300172128,0.01917050297730054,0.0,0.0,76.06918611478443,0.0312402201798397,1.5847877132294623,0.0006509901943458557,8.862185238095238,0.02178110324036232
B_1.2.2,64.03398813209036,0.008589703699294328,-,-,-,-,-,-,18.586478135142745,0.003647165782277332,0.0,0.0,45.44830999694756,0.00859999738204284,0.9468731328701188,0.00015399459785081195,1.6907282196200364,0.021675377243353416
B_1.2.3,83.81500114950549,0.011844786666897807,-,-,-,-,-,-,30.51305386461549,0.005618598413495732,0.0,0.0,53.30274728489005,0.015168947734470858,1.1105193494530394,0.0002614365635546711,1.8009190862614215,0.02417465639478887
B_1.2.4,31.0719892492941,0.010755396502564385,-,-,-,-,-,-,19.558526719571027,0.0037327328049800747,0.0,0.0,11.513862529722894,0.006200869028834094,0.23986489819260393,0.0001259560456218073,0.28230039763336795,0.008777286960908216
B_2.1.1,97.65449954020366,0.028978533498819493,-,-,-,-,-,-,0.2425802224800659,0.03226349122910583,0.0,0.0,97.41372751772363,0.04808915234285573,2.029543666228368,0.0010333115185829742,69.28184313432835,0.21732463130533441
