Case name,Qall (kW),Qshade+cos (kW),Qblock (kW),Qfield_abs (kW),Qspil (kW),Qrefl (kW),Qabs (kW),Effective rays,Time,From source
C_1.1,52200.0,8226.72,563.957,2198.664,4516.688,3669.397,33024.573,n/a,18.193017,soltrace
C_1.2,52200.0,19721.16,361.002,1623.942,4930.863,2556.303,23006.729,n/a,12.778833,soltrace
C_2.1,52200.0,8226.72,563.957,2198.664,4487.841,3675.954,33046.864,n/a,19.441300,soltrace
C_2.2,52200.0,19726.38,360.906,1626.928,4902.114,2558.367,23025.304,n/a,14.664517,soltrace
