Loc. X,Loc. Y,Loc. Z,focal length
[m],[m],[m],[m]
-239.680159,528.702968,0,583.795689424198
281.708679,507.556526,0,583.795689354687
-281.708679,507.556526,0,583.795689354687
324.319213,427.888751,0,540.477321590166
-324.319213,427.888751,0,540.477321590166
328.410988,205.551021,0,392.363351083251
-328.410988,205.551021,0,392.363351083251
180.160853,181.555932,0,263.181476168206
-180.160853,181.555932,0,263.181476168206
335.248841,251.456607,0,423.634524792062
-335.248841,251.456607,0,423.634524792062
-340.605485,303.488608,0,460.392692815452
340.605485,303.488608,0,460.392692815452
288.602443,452.747573,0,540.477321414098
-288.602443,452.747573,0,540.477321414098
306.71278,440.680162,0,540.477321074321
-306.71278,440.680162,0,540.477321074321
321.331716,374.319702,0,497.205501792643
-321.331716,374.319702,0,497.205501792643
59.685608,10.728319,0,86.7264010027825
-59.685608,10.728319,0,86.7264010027825
220.290305,84.9261,0,244.098875331705
-220.290305,84.9261,0,244.098875331705
244.770057,258.21983,0,361.156283911844
-244.770057,258.21983,0,361.156283911844
89.489469,485.14013,0,497.205501576882
-89.489469,485.14013,0,497.205501576882
110.708358,30.316472,0,130.458533663318
-110.708358,30.316472,0,130.458533663318
59.421518,248.77615,0,263.181476571294
-59.421518,248.77615,0,263.181476571294
218.057798,537.981601,0,583.795688818556
-218.057798,537.981601,0,583.795688818556
105.302054,570.86328,0,583.795689457345
-105.302054,570.86328,0,583.795689457345
127.094746,332.320308,0,361.156284134749
-127.094746,332.320308,0,361.156284134749
196.077187,546.376376,0,583.795689871659
-196.077187,546.376376,0,583.795689871659
82.08155,574.661662,0,583.795689109645
-82.08155,574.661662,0,583.795689109645
214.264145,284.043549,0,361.156284122395
-214.264145,284.043549,0,361.156284122395
58.726192,577.515923,0,583.795689385733
-58.726192,577.515923,0,583.795689385733
-35.274353,579.421373,0,583.795689834015
35.274353,579.421373,0,583.795689834015
-11.76456,580.374881,0,583.795689747499
11.76456,580.374881,0,583.795689747499
173.774436,553.873498,0,583.795688913402
-173.774436,553.873498,0,583.795688913402
286.048247,162.15693,0,334.607934094214
-286.048247,162.15693,0,334.607934094214
323.021491,322.140572,0,460.392693009294
-323.021491,322.140572,0,460.392693009294
268.191159,138.479329,0,308.134747028071
-268.191159,138.479329,0,308.134747028071
270.017956,464.071156,0,540.477320887375
-270.017956,464.071156,0,540.477320887375
320.595827,269.889841,0,423.634524755501
-320.595827,269.889841,0,423.634524755501
151.186189,560.460653,0,583.795689694203
-151.186189,560.460653,0,583.795689694203
316.347185,223.672656,0,392.363350097226
-316.347185,223.672656,0,392.363350097226
128.349555,566.127016,0,583.795689016082
-128.349555,566.127016,0,583.795689016082
221.729627,440.687285,0,497.205501427961
-221.729627,440.687285,0,497.205501427961
252.536807,118.137934,0,285.614093383964
-252.536807,118.137934,0,285.614093383964
250.989852,474.632309,0,540.477321035447
-250.989852,474.632309,0,540.477321035447
231.549393,484.41368,0,540.477321235416
-231.549393,484.41368,0,540.477321235416
303.284575,241.088086,0,392.363350281437
-303.284575,241.088086,0,392.363350281437
304.417615,339.775436,0,460.39269241733
-304.417615,339.775436,0,460.39269241733
273.550854,410.535311,0,497.20550208339
-273.550854,410.535311,0,497.20550208339
150.311833,515.439703,0,540.477321049226
-150.311833,515.439703,0,540.477321049226
211.728517,493.399199,0,540.477320971806
-211.728517,493.399199,0,540.477320971806
103.79794,49.00425,0,130.45853312952
-103.79794,49.00425,0,130.45853312952
